frame,label
0,1
10,1
20,1
30,1
40,1
50,1
60,1
70,1
80,1
90,1
100,1
110,1
120,1
130,1
140,1
150,1
160,1
170,1
180,1
190,1
200,1
210,1
220,1
230,1
240,1
250,1
260,1
270,1
280,1
290,1
300,1
310,1
320,1
330,1
340,1
350,1
360,2
370,2
380,2
390,2
400,2
410,2
420,2
430,2
440,2
450,2
460,2
470,2
480,2
490,2
500,2
510,2
520,2
530,2
540,2
550,2
560,2
570,2
580,2
590,2
600,2
610,2
620,2
630,2
640,2
650,2
660,2
670,2
680,2
690,2
700,2
710,2
720,2
730,2
740,2
750,2
760,2
770,2
780,2
790,2
800,2
810,2
820,2
830,2
840,2
850,2
860,2
870,2
880,2
890,2
900,2
910,2
920,2
930,2
940,2
950,2
960,2
970,2
980,2
990,2
1000,2
1010,2
1020,2
1030,2
1040,2
1050,2
1060,2
1070,2
1080,2
1090,2
1100,2
1110,2
1120,2
1130,2
1140,2
1150,2
1160,2
1170,2
1180,2
1190,2
1200,2
1210,2
1220,2
1230,2
1240,2
1250,2
1260,2
1270,2
1280,1
1290,1
1300,1
1310,1
1320,1
1330,1
1340,1
1350,1
1360,1
1370,1
1380,1
1390,1
1400,0
1410,0
1420,0
1430,0
1440,0
1450,0
1460,0
1470,0
1480,0
1490,0
1500,0
1510,0
1520,0
1530,0
1540,0
1550,0
1560,0
1570,0
1580,0
1590,0
1600,0
1610,0
1620,0
1630,0
1640,0
1650,0
1660,0
1670,0
1680,0
1690,0
1700,0
1710,0
1720,0
1730,0
1740,0
1750,0
1760,0
1770,0
1780,0
1790,0
1800,0
1810,0
1820,0
1830,0
1840,0
1850,0
1860,0
1870,0
1880,0
1890,0
1900,0
1910,0
1920,0
1930,0
1940,0
1950,0
1960,0
1970,0
1980,0
1990,0
2000,0
2010,0
2020,0
2030,0
2040,0
2050,0
2060,0
2070,0
2080,0
2090,0
2100,0
2110,0
2120,0
2130,0
2140,0
2150,0
2160,3
2170,3
2180,3
2190,3
2200,3
2210,3
2220,3
2230,3
2240,3
2250,3
2260,3
2270,3
2280,3
2290,3
2300,3
2310,3
2320,3
2330,3
2340,3
2350,3
2360,3
2370,3
2380,3
2390,3
2400,3
2410,3
2420,3
2430,3
2440,3
2450,3
2460,3
2470,3
2480,3
2490,3
2500,3
2510,3
2520,3
2530,3
2540,3
2550,3
2560,3
2570,3
2580,3
2590,3
2600,3
2610,3
2620,3
2630,3
2640,3
2650,3
2660,3
2670,3
2680,3
2690,3
2700,3
2710,3
2720,3
2730,3
2740,3
2750,3
2760,3
2770,3
2780,3
2790,3
2800,3
2810,3
2820,3
2830,3
2840,3
2850,3
2860,3
2870,3
2880,3
2890,3
2900,3
2910,3
2920,3
2930,3
2940,3
2950,3
2960,3
2970,3
2980,3
2990,3
3000,3
3010,3
3020,3
3030,3
3040,3
3050,3
3060,3
3070,3
3080,3
3090,3
3100,3
3110,3
3120,3
3130,3
3140,3
3150,3
3160,3
3170,3
3180,3
3190,3
3200,3
3210,3
3220,3
3230,3
3240,3
3250,3
3260,3
3270,3
3280,3
3290,3
3300,3
3310,3
3320,3
3330,3
3340,3
3350,3
3360,3
